approach,model_name,accuracy,rush_precision,rush_recall,rush_f1_score,pass_precision,pass_recall,pass_f1_score
2025-07-29_03-35-19,MLP,0.6648471615720524,0.6677777777777778,0.6561135371179039,0.6618942731277533,0.6620171673819742,0.6735807860262009,0.6677489177489178
2025-07-29_03-35-19,RF,0.7232532751091703,0.7018756169792695,0.7762008733624454,0.7371695178849145,0.7496947496947497,0.6703056768558951,0.7077809798270893
2025-07-29_03-40-54,GCN,0.7740174672489083,0.7390476190476191,0.8471615720524017,0.7894201424211598,0.8209718670076727,0.7008733624454149,0.7561837455830389
2025-07-29_03-40-54,MLP,0.6593886462882096,0.6607929515418502,0.6550218340611353,0.6578947368421053,0.658008658008658,0.6637554585152838,0.6608695652173913
2025-07-29_03-40-54,RF,0.7243449781659389,0.7048853439680958,0.7718340611353712,0.7368421052631579,0.7478890229191797,0.6768558951965066,0.7106017191977078
2025-07-29_04-01-00,GCN,0.7543668122270742,0.7293307086614174,0.8089519650655022,0.7670807453416149,0.7855392156862745,0.6997816593886463,0.7401847575057737
2025-07-29_04-01-00,MLP,0.6599344978165939,0.656350053361793,0.6713973799126638,0.6637884511602806,0.6636871508379888,0.648471615720524,0.6559911651021535
2025-07-29_04-01-00,RF,0.7259825327510917,0.7082494969818913,0.7685589519650655,0.7371727748691099,0.747016706443914,0.6834061135371179,0.7137970353477765
2025-07-29_04-25-36,GCN,0.74235807860262,0.6920415224913494,0.8733624454148472,0.7722007722007722,0.8284023668639053,0.611353711790393,0.7035175879396985
2025-07-29_04-25-36,MLP,0.6959606986899564,0.6915688367129136,0.7074235807860262,0.6994063680518079,0.7005586592178771,0.6844978165938864,0.6924351187189398
2025-07-29_04-25-36,RF,0.7358078602620087,0.7142857142857143,0.7860262008733624,0.7484407484407485,0.7621359223300971,0.6855895196506551,0.7218390804597701
2025-07-29_05-22-49,GCN,0.7554585152838428,0.7280701754385965,0.8155021834061136,0.7693099897013388,0.7903225806451613,0.6954148471615721,0.7398373983739838
2025-07-29_05-22-49,MLP,0.6681222707423581,0.6506849315068494,0.7259825327510917,0.6862745098039216,0.6901234567901234,0.6102620087336245,0.6477404403244496
2025-07-29_05-22-49,RF,0.726528384279476,0.7056491575817642,0.777292576419214,0.7397402597402597,0.7521263669501823,0.675764192139738,0.7119033927544566
2025-07-29_06-21-27,GCN,0.7587336244541485,0.7244318181818182,0.8351528384279476,0.7758620689655172,0.8054123711340206,0.6823144104803494,0.7387706855791962
2025-07-29_06-21-27,MLP,0.6763100436681223,0.6800445930880713,0.665938864628821,0.6729178157749587,0.6727272727272727,0.6866812227074236,0.6796326310102647
2025-07-29_06-21-27,RF,0.7205240174672489,0.702,0.7663755458515283,0.732776617954071,0.7427884615384616,0.6746724890829694,0.7070938215102975
2025-07-29_07-19-03,GCN,0.7570960698689956,0.7253588516746412,0.8275109170305677,0.7730749617542071,0.7992376111817027,0.6866812227074236,0.738696418085731
2025-07-29_07-19-03,MLP,0.6626637554585153,0.6602150537634408,0.6703056768558951,0.6652221018418202,0.6651884700665188,0.6550218340611353,0.6600660066006601
2025-07-29_07-19-03,RF,0.7330786026200873,0.7141424272818455,0.777292576419214,0.7443805541035023,0.755688622754491,0.6888646288209607,0.7207310108509423
2025-07-29_09-03-36,GCN,0.7707423580786026,0.7258652094717668,0.8700873362445415,0.791459781529295,0.837874659400545,0.6713973799126638,0.7454545454545455
2025-07-29_09-03-36,MLP,0.6905021834061136,0.6894679695982627,0.6932314410480349,0.6913445835601524,0.6915477497255763,0.6877729257641921,0.6896551724137931
2025-07-29_09-03-36,RF,0.7237991266375546,0.7017716535433071,0.7783842794759825,0.7380952380952381,0.7512254901960784,0.6692139737991266,0.707852193995381
