strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
QB-CLOSEST-,61,0.5229257641921398,128,2,0.0012279416566126629,10,True,True
QB-CLOSEST-,62,0.7036026200873362,128,1,0.0012239622475262394,10,True,True
QB-CLOSEST-,63,0.712882096069869,128,1,0.0011895287720103285,10,True,True
QB-CLOSEST-,64,0.7014192139737991,128,1,0.001473613369986458,10,True,True
QB-CLOSEST-,65,0.7025109170305677,128,1,0.001458098027196325,10,True,True
QB-CLOSEST-,66,0.6954148471615721,128,1,0.0012466377444563547,10,True,True
QB-CLOSEST-,67,0.7085152838427947,128,1,0.001157630005869587,20,True,True
QB-CLOSEST-,68,0.49945414847161573,128,1,0.016897479686649567,20,True,False
QB-CLOSEST-,69,0.6746724890829694,128,1,0.002049393034940321,10,True,False
QB-CLOSEST-,70,0.6921397379912664,128,1,0.0017459488915162972,10,True,False
QB-CLOSEST-,71,0.6577510917030568,128,1,0.0016831321494580526,10,True,True
QB-CLOSEST-,72,0.6774017467248908,256,1,0.0011448821658959422,10,True,True
QB-CLOSEST-,73,0.7041484716157205,256,1,0.0011474697293192974,10,True,True
QB-CLOSEST-,74,0.7085152838427947,256,1,0.0010037406518358149,10,True,True
QB-CLOSEST-,75,0.7008733624454149,256,1,0.001372998464450939,10,True,True
QB-CLOSEST-,76,0.6983578219533275,256,1,0.003375844488711409,10,False,True
QB-CLOSEST-,77,0.7079694323144105,128,1,0.0014322950232971967,10,True,True
QB-CLOSEST-,78,0.7008733624454149,128,1,0.0010060214552377123,10,True,True
QB-CLOSEST-,79,0.6970524017467249,128,1,0.001551732272640598,10,True,False
QB-CLOSEST-,80,0.7036026200873362,256,1,0.0015600802740194874,10,True,False
QB-CLOSEST-,81,0.6959606986899564,256,1,0.002105842307486609,30,True,True
QB-CLOSEST-,82,0.7203975799481418,256,1,0.0011769018002395193,10,False,True
QB-CLOSEST-,83,0.7143474503025065,256,1,0.0011620140510524657,10,False,True
QB-CLOSEST-,84,0.7208297320656871,256,1,0.001151123414274232,10,False,True
QB-CLOSEST-,85,0.722990492653414,256,1,0.0012178047310792306,10,False,True
QB-CLOSEST-,86,0.702247191011236,256,1,0.0013128370336811257,10,False,True
QB-CLOSEST-,87,0.6041486603284356,256,1,0.00904561652252037,10,False,True
QB-CLOSEST-,88,0.7005185825410545,256,1,0.001114185734909989,10,False,True
QB-CLOSEST-,89,0.7178046672428695,256,1,0.0011443924047970378,10,False,True
QB-CLOSEST-,90,0.6970613656006914,256,1,0.0025500898372450478,10,False,True
QB-CLOSEST-,91,0.6637856525496975,256,1,0.002548732718355983,10,False,True
QB-CLOSEST-,92,0.7191011235955056,256,1,0.0013281686530188734,10,False,True
QB-CLOSEST-,93,0.7095937770095073,256,1,0.0012690017471569004,10,False,True
QB-CLOSEST-,94,0.7031114952463267,256,1,0.001341157661076582,10,False,True
QB-CLOSEST-,95,0.7057044079515989,256,1,0.0018377780506185714,10,False,True
QB-CLOSEST-,96,0.6836646499567848,256,1,0.0017964438239534482,10,False,True
QB-CLOSEST-,97,0.7104580812445981,256,1,0.0011226859191549355,20,False,True
QB-CLOSEST-,98,0.7208297320656871,256,1,0.0011374192566262324,20,False,True
QB-CLOSEST-,99,0.6041486603284356,256,1,0.05940351696320408,30,False,True
DELAUNAY,0,0.5,128,2,0.06630734187769788,30,True,True
DELAUNAY,1,0.6763100436681223,128,1,0.0038541167554603504,10,True,False
DELAUNAY,2,0.6041486603284356,256,1,0.01304297171409397,30,False,False
DELAUNAY,3,0.6866897147796024,256,2,0.0012972069255575657,30,False,False
DELAUNAY,4,0.5,128,2,0.007212370410178542,30,True,False
DELAUNAY,5,0.7130509939498704,256,1,0.0016393759289623354,10,False,True
DELAUNAY,6,0.5,128,1,0.004758919876727185,10,True,True
DELAUNAY,7,0.5,128,2,0.0605873176733259,10,True,False
DELAUNAY,8,0.6041486603284356,256,2,0.006832741741040319,10,False,True
DELAUNAY,9,0.5,256,2,0.002764237366596333,30,True,False
DELAUNAY,10,0.6041486603284356,256,1,0.032505544211147576,10,False,False
DELAUNAY,11,0.7139152981849611,256,1,0.0011967688961280684,20,False,True
DELAUNAY,12,0.7277441659464131,256,1,0.0011121313408892866,20,False,True
DELAUNAY,13,0.7013828867761452,256,1,0.0011188406902585093,20,False,True
DELAUNAY,14,0.72990492653414,256,1,0.0010574165316154969,20,False,True
DELAUNAY,15,0.6858254105445116,256,1,0.0023953518522200935,20,False,True
DELAUNAY,16,0.6041486603284356,256,1,0.018823492463403462,20,False,True
DELAUNAY,17,0.6041486603284356,256,1,0.021402930688252653,20,False,True
DELAUNAY,18,0.7121866897147796,256,1,0.002301890007196825,20,False,True
DELAUNAY,19,0.7082973206568712,256,1,0.002007652927173657,20,False,True
