strategy,trial,accuracy,hidden_channels,hidden_layers,warmup_epochs
MST,32,0.6028522039757995,256,2,13
MST,33,0.665514261019879,256,1,20
MST,34,0.6568712186689715,256,1,15
MST,35,0.6603284356093345,128,1,15
MST,36,0.6127917026793431,32,1,10
MST,37,0.6041486603284356,32,2,10
MST,38,0.6797752808988764,256,1,17
MST,39,0.6784788245462403,256,1,17
MST,40,0.6802074330164217,256,1,20
MST,41,0.6378565254969749,128,1,19
MST,42,0.6521175453759723,128,1,5
MST,43,0.6037165082108902,256,2,24
MST,44,0.6037165082108902,256,2,22
MST,45,0.6041486603284356,64,2,23
MST,46,0.6318063958513397,64,1,12
MST,47,0.7026793431287813,256,1,7
MST,48,0.6823681936041487,256,1,19
MST,49,0.68971477960242,256,1,7
MST,50,0.6719965427830596,256,1,8
MST,51,0.6668107173725151,256,1,7
MST,52,0.6041486603284356,32,1,7
MST,53,0.6789109766637856,256,1,6
MST,54,0.6093344857389801,32,1,6
MST,55,0.6041486603284356,256,2,5
MST,56,0.6041486603284356,64,3,9
MST,57,0.6041486603284356,64,3,9
MST,58,0.6840968020743302,256,1,8
MST,59,0.6979256698357822,256,1,8
MST,60,0.6707000864304236,256,1,11
MST,61,0.6560069144338807,256,1,11
MST,62,0.675885911840968,256,1,8
